index,task_url,task_name,task_description,language_name,code,target,set
5533,http://rosettacode.org/wiki/Knapsack_problem/0-1,Knapsack problem/0-1,"A tourist wants to make a good trip at the weekend with his friends.

They will go to the mountains to see the wonders of nature, so he needs to pack well for the trip.

He has a good knapsack for carrying things, but knows that he can carry a maximum of only 4kg in it,   and it will have to last the whole day.

He creates a list of what he wants to bring for the trip but the total weight of all items is too much.

He then decides to add columns to his initial list detailing their weights and a numerical value representing how important the item is for the trip.



Here is the list:


 Table of potential knapsack items


 item 
 weight (dag) 
 value


 map 
 9 
 150


 compass 
 13 
 35


 water 
 153 
 200


 sandwich 
 50 
 160


 glucose 
 15 
 60


 tin 
 68 
 45


 banana 
 27 
 60


 apple 
 39 
 40


 cheese 
 23 
 30


 beer 
 52 
 10


 suntan cream 
 11 
 70


 camera 
 32 
 30


 T-shirt 
 24 
 15


 trousers 
 48 
 10


 umbrella 
 73 
 40


 waterproof trousers 
 42 
 70


 waterproof overclothes 
 43 
 75


 note-case 
 22 
 80


 sunglasses 
 7 
 20


 towel 
 18 
 12


 socks 
 4 
 50


 book 
 30 
 10


 knapsack 
 ≤400 dag 
 ?



The tourist can choose to take any combination of items from the list,
but only one of each item is available.

He may not cut or diminish the items, so he can only take whole units of any item.



Task

Show which items the tourist can carry in his knapsack so that their total weight does not
exceed 400 dag [4 kg],   and their total value is maximized.

[dag = decagram = 10 grams]



Related tasks

   Knapsack problem/Bounded
   Knapsack problem/Unbounded
   Knapsack problem/Continuous
   A* search algorithm

",Java,"import java.util.Arrays;
 
public class Knapsack {
    public static class Item {
        public String name;
        public int weight;
        public int value;
    }
 
    public static Item[] items = {
        new Item(""map"", 9, 150),
        new Item(""compass"", 13, 35),
        new Item(""water"", 153, 200),
        new Item(""sandwich"", 50, 160),
        new Item(""glucose"", 15, 60),
        new Item(""tin"", 68, 45),
        new Item(""banana"", 27, 60),
        new Item(""apple"", 39, 40),
        new Item(""cheese"", 23, 30),
        new Item(""beer"", 52, 10),
        new Item(""suntan cream"", 11, 70),
        new Item(""camera"", 32, 30),
        new Item(""T-shirt"", 24, 15),
        new Item(""trousers"", 48, 10),
        new Item(""umbrella"", 73, 40),
        new Item(""waterproof trousers"", 42, 70),
        new Item(""waterproof overclothes"", 43, 75),
        new Item(""note-case"", 22, 80),
        new Item(""sunglasses"", 7, 20),
        new Item(""towel"", 18, 12),
        new Item(""socks"", 4, 50),
        new Item(""book"", 30, 10),
    };
 
    public static int[] knapsack(Item[] items, int n, int w) {
        int i, j, a, b, mm[] = new int[(n + 1) * (w + 1)], m[] = new int[n + 1], s[] = new int[n];
        for (i = 0; i < n + 1; i++) {
            m[i] = i * (w + 1);
        }
        for (i = 1; i <= n; i++) {
            for (j = 0; j <= w; j++) {
                if (items[i - 1].weight > j) {
                    mm[m[i] + j] = mm[m[i - 1] + j];
                }
                else {
                    a = mm[m[i - 1] + j];
                    b = mm[m[i - 1] + j - items[i - 1].weight] + items[i - 1].value;
                    mm[m[i] + j] = a > b? a : b;
                }
            }
        }
        for (i = n, j = w; i > 0; i--) {
            if (mm[m[i] + j] > mm[m[i - 1] + j]) {
                s[i - 1] = 1;
                j -= items[i - 1].weight;
            }
        }
        return s;
    }
 
    public static void main(String[] args) {
        int i, n, tw = 0, tv = 0, s[];
        n = items.length;
        s = knapsack(items, n, 400);
        for (i = 0; i < n; i++) {
            if (s[i] == 1) {
                System.out.printf(""%-22s %5d %5d\n"", items[i].name, items[i].weight, items[i].value);
                tw += items[i].weight;
                tv += items[i].value;
            }
        }
        System.out.printf(""%-22s %5d %5d\n"", ""totals:"", tw, tv);
    }
}",Ai_generated,Java_from_C
1524,http://rosettacode.org/wiki/Primality_by_trial_division,Primality by trial division,"Task

Write a boolean function that tells whether a given integer is prime.



Remember that   1   and all non-positive numbers are not prime.

Use trial division.

Even numbers greater than   2   may be eliminated right away.

A loop from   3   to   √ n    will suffice,   but other loops are allowed.



Related tasks

   count in factors
   prime decomposition
   AKS test for primes
   factors of an integer
   Sieve of Eratosthenes
   factors of a Mersenne number
   trial factoring of a Mersenne number
   partition an integer X into N primes
   sequence of primes by Trial Division

",Java,"public static boolean prime(int a) {
    return (a < 2 || IntStream.range(2, (int) Math.sqrt(a) + 1).anyMatch(x -> a % x == 0));
}",Ai_generated,Java_from_Python
8626,http://rosettacode.org/wiki/Comments,Comments,"Task

Show all ways to include text in a language source file
that's completely ignored by the compiler or interpreter.



Related tasks

   Documentation
   Here_document


See also

   Wikipedia
   xkcd (Humor: hand gesture denoting // for ""commenting out"" people.)

",Java,"String x = ""code""; // I am a comment

/* hello
I a POD documentation comment like Perl
*/ System.out.println(""code"");",Ai_generated,Java_from_Ruby
10740,http://rosettacode.org/wiki/Archimedean_spiral,Archimedean spiral,"
The Archimedean spiral is a spiral named after the Greek mathematician Archimedes.



An Archimedean spiral can be described by the equation:






r
=
a
+
b
θ


{\displaystyle \,r=a+b\theta }


with real numbers a and b.



Task
Draw an Archimedean spiral.



",Java,"// version 1.1.0
 
import java.awt.*;
import javax.swing.*;
 
class ArchimedeanSpiral extends JPanel {
    public ArchimedeanSpiral() {
        super();
        this.setPreferredSize(new Dimension(640, 640));
        this.setBackground(Color.white);
    }
 
    private void drawGrid(Graphics2D g) {
        g.setColor(new Color(0xEEEEEE));
        g.setStroke(new BasicStroke(2f));
        double angle = Math.toRadians(45.0);
        int w = this.getWidth();
        int center = w / 2;
        int margin = 10;
        int numRings = 8;
        int spacing = (w - 2 * margin) / (numRings * 2);
 
        for (int i = 0; i < numRings; i++) {
            int pos = margin + i * spacing;
            int size = w - (2 * margin + i * 2 * spacing);
            g.drawOval(pos, pos, size, size);
            double ia = i * angle;
            int x2 = center + (int) (Math.cos(ia) * (w - 2 * margin) / 2);
            int y2 = center - (int) (Math.sin(ia) * (w - 2 * margin) / 2);
            g.drawLine(center, center, x2, y2);
        }
    }
 
    private void drawSpiral(Graphics2D g) {
        g.setStroke(new BasicStroke(2f));
        g.setColor(Color.magenta);
        double degrees = Math.toRadians(0.1);
        int center = this.getWidth() / 2;
        double end = 360 * 2 * 10 * degrees;
        double a = 0.0;
        double b = 20.0;
        double c = 1.0;
        double theta = 0.0;
        while (theta < end) {
            double r = a + Math.pow(theta, 1.0 / c) * b;
            int x = (int) (r * Math.cos(theta));
            int y = (int) (r * Math.sin(theta));
            plot(g, center + x, center - y);
            theta += degrees;
        }
    }
 
    private void plot(Graphics2D g, int x, int y) {
        g.drawOval(x, y, 1, 1);
    }
 
    @Override
    public void paintComponent(Graphics gg) {
        super.paintComponent(gg);
        Graphics2D g = (Graphics2D) gg;
        g.setRenderingHint(RenderingHints.KEY_ANTIALIASING, RenderingHints.VALUE_ANTIALIAS_ON);
        drawGrid(g);
        drawSpiral(g);
    }
}
 
public class Main {
    public static void main(String[] args) {
        SwingUtilities.invokeLater(new Runnable() {
            @Override
            public void run() {
                JFrame f = new JFrame();
                f.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
                f.setTitle(""Archimedean Spiral"");
                f.setResizable(false);
                f.add(new ArchimedeanSpiral(), BorderLayout.CENTER);
                f.pack();
                f.setLocationRelativeTo(null);
                f.setVisible(true);
            }
        });
    }
}",Ai_generated,Java_from_Kotlin
1891,http://rosettacode.org/wiki/Digital_root,Digital root,"The digital root, 



X


{\displaystyle X}

, of a number, 



n


{\displaystyle n}

, is calculated:

 find 



X


{\displaystyle X}

 as the sum of the digits of 



n


{\displaystyle n}


 find a new 



X


{\displaystyle X}

 by summing the digits of 



X


{\displaystyle X}

, repeating until 



X


{\displaystyle X}

 has only one digit.
The additive persistence is the number of summations required to obtain the single digit.

The task is to calculate the additive persistence and the digital root of a number, e.g.:





627615


{\displaystyle 627615}

 has additive persistence 



2


{\displaystyle 2}

 and digital root of 



9


{\displaystyle 9}

;




39390


{\displaystyle 39390}

 has additive persistence 



2


{\displaystyle 2}

 and digital root of 



6


{\displaystyle 6}

;




588225


{\displaystyle 588225}

 has additive persistence 



2


{\displaystyle 2}

 and digital root of 



3


{\displaystyle 3}

;




393900588225


{\displaystyle 393900588225}

 has additive persistence 



2


{\displaystyle 2}

 and digital root of 



9


{\displaystyle 9}

;
The digital root may be calculated in bases other than 10.



See

 Casting out nines for this wiki's use of this procedure.
 Digital root/Multiplicative digital root
 Sum digits of an integer
 Digital root sequence on OEIS
 Additive persistence sequence on OEIS
 Iterated digits squaring

",Java,"public class DigitalRoot {
    public static void main(String[] args) {
        for (int n : new int[] {627615, 39390, 588225, 393900588225, 55}) {
            int[] digitalRoot = digitalRoot(n);
            System.out.printf(""%12d has additive persistance %2d and digital root %d.%n"", n, digitalRoot[0], digitalRoot[1]);
        }
    }
    public static int[] digitalRoot(int n) {
        int ap = 0;
        n = Math.abs(n);
        while (n >= 10) {
            n = sumDigits(n);
            ap++;
        }
        return new int[] {ap, n};
    }
    public static int sumDigits(int n) {
        int sum = 0;
        while (n > 0) {
            sum += n % 10;
            n /= 10;
        }
        return sum;
    }
}",Ai_generated,Java_from_Python
3382,http://rosettacode.org/wiki/Ackermann_function,Ackermann function,"The Ackermann function is a classic example of a recursive function, notable especially because it is not a primitive recursive function. It grows very quickly in value, as does the size of its call tree.



The Ackermann function is usually defined as follows:







A
(
m
,
n
)
=


{



n
+
1



if 

m
=
0




A
(
m
−
1
,
1
)



if 

m
>
0

 and 

n
=
0




A
(
m
−
1
,
A
(
m
,
n
−
1
)
)



if 

m
>
0

 and 

n
>
0.








{\displaystyle A(m,n)={\begin{cases}n+1&{\mbox{if }}m=0\\A(m-1,1)&{\mbox{if }}m>0{\mbox{ and }}n=0\\A(m-1,A(m,n-1))&{\mbox{if }}m>0{\mbox{ and }}n>0.\end{cases}}}






Its arguments are never negative and it always terminates.



Task

Write a function which returns the value of 



A
(
m
,
n
)


{\displaystyle A(m,n)}

. Arbitrary precision is preferred (since the function grows so quickly), but not required.



See also

 Conway chained arrow notation for the Ackermann function.

",Java,"public class Ackermann {
    public static int ack(int m, int n) {
        if (m == 0) {
            return n + 1;
        } else {
            if (n == 0) {
                return ack(m - 1, 1);
            } else {
                return ack(m - 1, ack(m, n - 1));
            }
        }
    }
}",Ai_generated,Java_from_JavaScript
3038,http://rosettacode.org/wiki/Read_a_file_line_by_line,Read a file line by line,"Read a file one line at a time,
as opposed to reading the entire file at once.



Related tasks

 Read a file character by character
 Input loop.

",Java,"import java.io.File;
import java.io.IOException;
import java.nio.file.Files;
import java.nio.file.Paths;
 
public class ReadFile {
 
    public static void main(String[] args) {
        try {
            String content = new String(Files.readAllBytes(Paths.get(""file.txt"")));
            System.out.println(content);
        } catch (IOException e) {
            e.printStackTrace();
        }
    }
}",Ai_generated,Java_from_JavaScript
10979,http://rosettacode.org/wiki/Return_multiple_values,Return multiple values,"Task

Show how to return more than one value from a function.



",Java,"// version 1.0.6
 
public final class MinMaxKt {
   public static final Pair<Integer, Integer> minmax(int[] ia) {
      return Pair.Companion.to(CollectionsKt.min(ia), CollectionsKt.max(ia));
   }
 
   public static final void main(String[] args) {
      int[] ia = new int[]{17, 88, 9, 33, 4, 987, -10, 2};
      Pair<Integer, Integer> var2 = minmax(ia);
      int min = (Integer)var2.getFirst();
      int max = (Integer)var2.getSecond();
      String var10000 = ""The smallest number is "";
      String var10001 = ""The largest  number is "";
      boolean var10002 = false;
      System.out.println(var10000 + min);
      System.out.println(var10001 + max);
   }
}",Ai_generated,Java_from_Kotlin
2878,http://rosettacode.org/wiki/Yin_and_yang,Yin and yang,"One well-known symbol of the philosophy of duality known as yin and yang is the taijitu.



Task

   Create a function that, given a parameter representing size, generates such a symbol scaled to the requested size.
   Generate and display the symbol for two different (small) sizes.

",Java,"import java.util.ArrayList;
import java.util.Arrays;
import java.util.List;
import java.util.function.BiConsumer;
import java.util.function.Consumer;

public class YingYang {
    public static void main(String[] args) {
        Arc[] YingYang = new Arc[]{
                new Arc(0.5, 0.5, 1, 0.5 * Math.PI, 1.5 * Math.PI, ""white""),//Half white semi-circle
                new Arc(0.5, 0.5, 1, 1.5 * Math.PI, 0.5 * Math.PI, ""black""),//Half black semi-circle
                new Arc(0.5, 0.25,.5, 0, 2 * Math.PI, ""black""),//black circle
                new Arc(0.5, 0.75,.5, 0, 2 * Math.PI, ""white""),//white circle
                new Arc(0.5, 0.25, 1 / 6, 0, 2 * Math.PI, ""white""),//small white circle
                new Arc(0.5, 0.75, 1 / 6, 0, 2 * Math.PI, ""black"")//small black circle
        };
        Array2D mat = new Array2D(100, 100);
        for (int i = 0; i < mat.height; i++) {
            for (int i2 = 0; i2 < mat.width; i2++) {
                for (Arc arc : YingYang) {
                    if (arc.contains(i, i2)) {
                        mat.array2d[i][i2] = arc.color;
                        break;
                    }
                }
            }
        }
        mat.loop((s, i, i2) -> {
            if (s == null) {
                System.out.print("" "");
            } else {
                System.out.print(s);
            }
            if (i2 == mat.width - 1) {
                System.out.println();
            }
        });
    }

    static class Arc {
        double posX;
        double posY;
        double radius;
        double startAngle;
        double endAngle;
        String color;

        public Arc(double posX, double posY, double radius, double startAngle, double endAngle, String color) {
            this.posX = posX;
            this.posY = posY;
            this.radius = radius;
            this.startAngle = startAngle;
            this.endAngle = endAngle;
            this.color = color;
        }

        public boolean contains(int x, int y) {
            double angle = Math.atan2(y - posY, x - posX);
            if (angle < 0) {
                angle += 2 * Math.PI;
            }
            return angle >= startAngle && angle <= endAngle && Math.sqrt(Math.pow(x - posX, 2) + Math.pow(y - posY, 2)) <= radius;
        }
    }

    static class Array2D {
        int height;
        int width;
        String[][] array2d;

        public Array2D(int width, int height) {
            this.height = height;
            this.width = width;
            this.array2d = new String[height][width];
        }

        public void resize(int width, int height) {
            int nheight = height - this.height, nwidth = width - this.width;
            if (nwidth > 0) {
                for (int i = 0; i < this.height; i++) {
                    if (i < height)
                        Arrays.fill(this.array2d[i], width, width + nwidth, null);
                }
            } else if (nwidth < 0) {
                for (int i = 0; i < this.height; i++) {
                    if (i < height)
                        System.arraycopy(this.array2d[i], width, this.array2d[i], 0, nwidth);
                }
            }
            if (nheight > 0) {
                System.arraycopy(this.array2d, height, this.array2d, 0, nheight);
            } else if (nheight < 0) {
                System.arraycopy(this.array2d, height, this.array2d, 0, nheight);
            }
        }

        public void loop(BiConsumer<String, Integer, Integer> callback) {
            for (int i = 0; i < this.height; i++)
                for (int i2 = 0; i2 < this.width; i2++)
                    callback.accept(this.array2d[i][i2], i, i2);

        }
    }
}",Ai_generated,Java_from_JavaScript
3316,http://rosettacode.org/wiki/Combinations_with_repetitions,Combinations with repetitions,"The set of combinations with repetitions is computed from a set, 



S


{\displaystyle S}

 (of cardinality 



n


{\displaystyle n}

), and a size of resulting selection, 



k


{\displaystyle k}

, by reporting the sets of cardinality 



k


{\displaystyle k}

 where each member of those sets is chosen from 



S


{\displaystyle S}

.
In the real world, it is about choosing sets where there is a “large” supply of each type of element and where the order of choice does not matter.
For example:

Q: How many ways can a person choose two doughnuts from a store selling three types of doughnut: iced, jam, and plain? (i.e., 



S


{\displaystyle S}

 is 



{

i
c
e
d

,

j
a
m

,

p
l
a
i
n

}


{\displaystyle \{\mathrm {iced} ,\mathrm {jam} ,\mathrm {plain} \}}

, 




|

S

|

=
3


{\displaystyle |S|=3}

, and 



k
=
2


{\displaystyle k=2}

.)
A: 6: {iced, iced}; {iced, jam}; {iced, plain}; {jam, jam}; {jam, plain}; {plain, plain}.
Note that both the order of items within a pair, and the order of the pairs given in the answer is not significant; the pairs represent multisets.
Also note that doughnut can also be spelled donut.



Task

 Write a function/program/routine/.. to generate all the combinations with repetitions of 



n


{\displaystyle n}

 types of things taken 



k


{\displaystyle k}

 at a time and use it to show an answer to the doughnut example above.
 For extra credit, use the function to compute and show just the number of ways of choosing three doughnuts from a choice of ten types of doughnut. Do not show the individual choices for this part.


References

 k-combination with repetitions


See also


 The number of samples of size k from n objects.


With   combinations and permutations   generation tasks. 






 Order Unimportant

 Order Important


 Without replacement








(


n
k


)




=

n



C

k


=



n
(
n
−
1
)
…
(
n
−
k
+
1
)


k
(
k
−
1
)
…
1





{\displaystyle {\binom {n}{k}}=^{n}\operatorname {C} _{k}={\frac {n(n-1)\ldots (n-k+1)}{k(k-1)\dots 1}}}










n



P

k


=
n
⋅
(
n
−
1
)
⋅
(
n
−
2
)
⋯
(
n
−
k
+
1
)


{\displaystyle ^{n}\operatorname {P} _{k}=n\cdot (n-1)\cdot (n-2)\cdots (n-k+1)}




Task: Combinations

Task: Permutations


 With replacement








(



n
+
k
−
1

k


)




=

n
+
k
−
1



C

k


=



(
n
+
k
−
1
)
!


(
n
−
1
)
!
k
!





{\displaystyle {\binom {n+k-1}{k}}=^{n+k-1}\operatorname {C} _{k}={(n+k-1)! \over (n-1)!k!}}








n

k




{\displaystyle n^{k}}




Task: Combinations with repetitions

Task: Permutations with repetitions


",Java,"import java.util.ArrayList;
import java.util.List;

public class Donuts {
	public static void main(String[] args) {
		disp(pick(2, new ArrayList<String>(), 0, new String[] { ""iced"", ""jam"", ""plain"" }, true) + "" combos"");
		disp(""pick 3 out of 10: "" + pick(3, new ArrayList<String>(), 0, ""a123456789"".split(""""), false) + "" combos"");
	}

	public static void disp(String x) {
		System.out.println(x);
	}

	public static int pick(int n, List<String> got, int pos, String[] from, boolean show) {
		int cnt = 0;
		if (got.size() == n) {
			if (show) disp(String.join("" "", got));
			return 1;
		}
		for (int i = pos; i < from.length; i++) {
			got.add(from[i]);
			cnt += pick(n, got, i, from, show);
			got.remove(got.size() - 1);
		}
		return cnt;
	}
}",Ai_generated,Java_from_JavaScript
