notebook,cell_index,metric,test_set,value,raw_text
analysis.ipynb,24,Dataset Accuracy,,84.43,Dataset Accuracy: 84.43%
analysis.ipynb,24,Accuracy,,84.43,Accuracy: 84.43
analysis.ipynb,24,Dataset Accuracy,,81.44,Dataset Accuracy: 81.44%
analysis.ipynb,24,Accuracy,,81.44,Accuracy: 81.44
analysis.ipynb,24,Dataset Accuracy,,81.38,Dataset Accuracy: 81.38%
analysis.ipynb,24,Accuracy,,81.38,Accuracy: 81.38
analysis.ipynb,24,Dataset Accuracy,,80.44,Dataset Accuracy: 80.44%
analysis.ipynb,24,Accuracy,,80.44,Accuracy: 80.44
analysis.ipynb,24,Dataset Accuracy,,78.34,Dataset Accuracy: 78.34%
analysis.ipynb,24,Accuracy,,78.34,Accuracy: 78.34
analysis.ipynb,24,Dataset Accuracy,,87.03,Dataset Accuracy: 87.03%
analysis.ipynb,24,Accuracy,,87.03,Accuracy: 87.03
analysis.ipynb,24,Dataset Accuracy,,79.64,Dataset Accuracy: 79.64%
analysis.ipynb,24,Accuracy,,79.64,Accuracy: 79.64
analysis.ipynb,24,Dataset Accuracy,,73.75,Dataset Accuracy: 73.75%
analysis.ipynb,24,Accuracy,,73.75,Accuracy: 73.75
analysis.ipynb,24,Dataset Accuracy,,79.64,Dataset Accuracy: 79.64%
analysis.ipynb,24,Accuracy,,79.64,Accuracy: 79.64
analysis.ipynb,24,Dataset Accuracy,,73.75,Dataset Accuracy: 73.75%
analysis.ipynb,24,Accuracy,,73.75,Accuracy: 73.75
analysis.ipynb,25,Dataset Accuracy,,84.83,Dataset Accuracy: 84.83%
analysis.ipynb,25,Accuracy,,84.83,Accuracy: 84.83
analysis.ipynb,25,Dataset Accuracy,,81.14,Dataset Accuracy: 81.14%
analysis.ipynb,25,Accuracy,,81.14,Accuracy: 81.14
analysis.ipynb,25,Dataset Accuracy,,81.08,Dataset Accuracy: 81.08%
analysis.ipynb,25,Accuracy,,81.08,Accuracy: 81.08
analysis.ipynb,25,Dataset Accuracy,,80.14,Dataset Accuracy: 80.14%
analysis.ipynb,25,Accuracy,,80.14,Accuracy: 80.14
analysis.ipynb,25,Dataset Accuracy,,78.34,Dataset Accuracy: 78.34%
analysis.ipynb,25,Accuracy,,78.34,Accuracy: 78.34
analysis.ipynb,25,Dataset Accuracy,,87.43,Dataset Accuracy: 87.43%
analysis.ipynb,25,Accuracy,,87.43,Accuracy: 87.43
analysis.ipynb,25,Dataset Accuracy,,78.94,Dataset Accuracy: 78.94%
analysis.ipynb,25,Accuracy,,78.94,Accuracy: 78.94
analysis.ipynb,25,Dataset Accuracy,,73.15,Dataset Accuracy: 73.15%
analysis.ipynb,25,Accuracy,,73.15,Accuracy: 73.15
analysis.ipynb,25,Dataset Accuracy,,78.94,Dataset Accuracy: 78.94%
analysis.ipynb,25,Accuracy,,78.94,Accuracy: 78.94
analysis.ipynb,25,Dataset Accuracy,,73.15,Dataset Accuracy: 73.15%
analysis.ipynb,25,Accuracy,,73.15,Accuracy: 73.15
