notebook,cell_index,metric,test_set,value,raw_text
codebert_only.ipynb,9,Accuracy,,0.7874,Accuracy: 0.7874
codebert_only.ipynb,9,Precision,,0.8229,Precision: 0.8229
codebert_only.ipynb,9,Recall,,0.7325,Recall: 0.7325
codebert_only.ipynb,9,F1-Score,,0.7751,F1-Score: 0.7751
codebert_only.ipynb,9,Accuracy,,0.7754,Accuracy: 0.7754
codebert_only.ipynb,9,Precision,,0.8013,Precision: 0.8013
codebert_only.ipynb,9,Recall,,0.7325,Recall: 0.7325
codebert_only.ipynb,9,F1-Score,,0.7654,F1-Score: 0.7654
codebert_only.ipynb,9,Accuracy,,0.7399,Accuracy: 0.7399
codebert_only.ipynb,9,Precision,,0.7384,Precision: 0.7384
codebert_only.ipynb,9,Recall,,0.7325,Recall: 0.7325
codebert_only.ipynb,9,F1-Score,,0.7355,F1-Score: 0.7355
codebert_only.ipynb,9,Accuracy,,0.7465,Accuracy: 0.7465
codebert_only.ipynb,9,Precision,,0.7536,Precision: 0.7536
codebert_only.ipynb,9,Recall,,0.7325,Recall: 0.7325
codebert_only.ipynb,9,F1-Score,,0.7429,F1-Score: 0.7429
codebert_only.ipynb,9,Accuracy,,0.7745,Accuracy: 0.7745
codebert_only.ipynb,9,Precision,,0.7996,Precision: 0.7996
codebert_only.ipynb,9,Recall,,0.7325,Recall: 0.7325
codebert_only.ipynb,9,F1-Score,,0.7646,F1-Score: 0.7646
codebert_only.ipynb,9,Accuracy,,0.8214,Accuracy: 0.8214
codebert_only.ipynb,9,Precision,,0.8908,Precision: 0.8908
codebert_only.ipynb,9,Recall,,0.7325,Recall: 0.7325
codebert_only.ipynb,9,F1-Score,,0.8039,F1-Score: 0.8039
codebert_only.ipynb,9,Accuracy,,0.7475,Accuracy: 0.7475
codebert_only.ipynb,9,Precision,,0.7551,Precision: 0.7551
codebert_only.ipynb,9,Recall,,0.7325,Recall: 0.7325
codebert_only.ipynb,9,F1-Score,,0.7437,F1-Score: 0.7437
codebert_only.ipynb,9,Accuracy,,0.6916,Accuracy: 0.6916
codebert_only.ipynb,9,Precision,,0.6771,Precision: 0.6771
codebert_only.ipynb,9,Recall,,0.7325,Recall: 0.7325
codebert_only.ipynb,9,F1-Score,,0.7037,F1-Score: 0.7037
codebert_only.ipynb,9,Accuracy,,0.7475,Accuracy: 0.7475
codebert_only.ipynb,9,Precision,,0.7551,Precision: 0.7551
codebert_only.ipynb,9,Recall,,0.7325,Recall: 0.7325
codebert_only.ipynb,9,F1-Score,,0.7437,F1-Score: 0.7437
codebert_only.ipynb,9,Accuracy,,0.6916,Accuracy: 0.6916
codebert_only.ipynb,9,Precision,,0.6771,Precision: 0.6771
codebert_only.ipynb,9,Recall,,0.7325,Recall: 0.7325
codebert_only.ipynb,9,F1-Score,,0.7037,F1-Score: 0.7037
