notebook,cell_index,metric,test_set,value,raw_text
ct5p_encoder_decoder_only.ipynb,11,Accuracy,,0.8992,Accuracy: 0.8992
ct5p_encoder_decoder_only.ipynb,11,Precision,,0.9329,Precision: 0.9329
ct5p_encoder_decoder_only.ipynb,11,Recall,,0.8603,Recall: 0.8603
ct5p_encoder_decoder_only.ipynb,11,F1-Score,,0.8951,F1-Score: 0.8951
ct5p_encoder_decoder_only.ipynb,11,Accuracy,,0.7605,Accuracy: 0.7605
ct5p_encoder_decoder_only.ipynb,11,Precision,,0.7171,Precision: 0.7171
ct5p_encoder_decoder_only.ipynb,11,Recall,,0.8603,Recall: 0.8603
ct5p_encoder_decoder_only.ipynb,11,F1-Score,,0.7822,F1-Score: 0.7822
ct5p_encoder_decoder_only.ipynb,11,Accuracy,,0.7399,Accuracy: 0.7399
ct5p_encoder_decoder_only.ipynb,11,Precision,,0.6896,Precision: 0.6896
ct5p_encoder_decoder_only.ipynb,11,Recall,,0.8603,Recall: 0.8603
ct5p_encoder_decoder_only.ipynb,11,F1-Score,,0.7655,F1-Score: 0.7655
ct5p_encoder_decoder_only.ipynb,11,Accuracy,,0.7405,Accuracy: 0.7405
ct5p_encoder_decoder_only.ipynb,11,Precision,,0.694,Precision: 0.6940
ct5p_encoder_decoder_only.ipynb,11,Recall,,0.8603,Recall: 0.8603
ct5p_encoder_decoder_only.ipynb,11,F1-Score,,0.7683,F1-Score: 0.7683
ct5p_encoder_decoder_only.ipynb,11,Accuracy,,0.7285,Accuracy: 0.7285
ct5p_encoder_decoder_only.ipynb,11,Precision,,0.6809,Precision: 0.6809
ct5p_encoder_decoder_only.ipynb,11,Recall,,0.8603,Recall: 0.8603
ct5p_encoder_decoder_only.ipynb,11,F1-Score,,0.7601,F1-Score: 0.7601
ct5p_encoder_decoder_only.ipynb,11,Accuracy,,0.8723,Accuracy: 0.8723
ct5p_encoder_decoder_only.ipynb,11,Precision,,0.8814,Precision: 0.8814
ct5p_encoder_decoder_only.ipynb,11,Recall,,0.8603,Recall: 0.8603
ct5p_encoder_decoder_only.ipynb,11,F1-Score,,0.8707,F1-Score: 0.8707
ct5p_encoder_decoder_only.ipynb,11,Accuracy,,0.6936,Accuracy: 0.6936
ct5p_encoder_decoder_only.ipynb,11,Precision,,0.6452,Precision: 0.6452
ct5p_encoder_decoder_only.ipynb,11,Recall,,0.8603,Recall: 0.8603
ct5p_encoder_decoder_only.ipynb,11,F1-Score,,0.7374,F1-Score: 0.7374
ct5p_encoder_decoder_only.ipynb,11,Accuracy,,0.6377,Accuracy: 0.6377
ct5p_encoder_decoder_only.ipynb,11,Precision,,0.5953,Precision: 0.5953
ct5p_encoder_decoder_only.ipynb,11,Recall,,0.8603,Recall: 0.8603
ct5p_encoder_decoder_only.ipynb,11,F1-Score,,0.7037,F1-Score: 0.7037
ct5p_encoder_decoder_only.ipynb,11,Accuracy,,0.6936,Accuracy: 0.6936
ct5p_encoder_decoder_only.ipynb,11,Precision,,0.6452,Precision: 0.6452
ct5p_encoder_decoder_only.ipynb,11,Recall,,0.8603,Recall: 0.8603
ct5p_encoder_decoder_only.ipynb,11,F1-Score,,0.7374,F1-Score: 0.7374
ct5p_encoder_decoder_only.ipynb,11,Accuracy,,0.6377,Accuracy: 0.6377
ct5p_encoder_decoder_only.ipynb,11,Precision,,0.5953,Precision: 0.5953
ct5p_encoder_decoder_only.ipynb,11,Recall,,0.8603,Recall: 0.8603
ct5p_encoder_decoder_only.ipynb,11,F1-Score,,0.7037,F1-Score: 0.7037
