notebook,cell_index,metric,test_set,value,raw_text
ct5p_encoder_only.ipynb,15,Accuracy,,0.8673,Accuracy: 0.8673
ct5p_encoder_only.ipynb,15,Precision,,0.871,Precision: 0.8710
ct5p_encoder_only.ipynb,15,Recall,,0.8623,Recall: 0.8623
ct5p_encoder_only.ipynb,15,F1-Score,,0.8666,F1-Score: 0.8666
ct5p_encoder_only.ipynb,15,Accuracy,,0.8263,Accuracy: 0.8263
ct5p_encoder_only.ipynb,15,Precision,,0.8045,Precision: 0.8045
ct5p_encoder_only.ipynb,15,Recall,,0.8623,Recall: 0.8623
ct5p_encoder_only.ipynb,15,F1-Score,,0.8324,F1-Score: 0.8324
ct5p_encoder_only.ipynb,15,Accuracy,,0.8236,Accuracy: 0.8236
ct5p_encoder_only.ipynb,15,Precision,,0.797,Precision: 0.7970
ct5p_encoder_only.ipynb,15,Recall,,0.8623,Recall: 0.8623
ct5p_encoder_only.ipynb,15,F1-Score,,0.8284,F1-Score: 0.8284
ct5p_encoder_only.ipynb,15,Accuracy,,0.8114,Accuracy: 0.8114
ct5p_encoder_only.ipynb,15,Precision,,0.7826,Precision: 0.7826
ct5p_encoder_only.ipynb,15,Recall,,0.8623,Recall: 0.8623
ct5p_encoder_only.ipynb,15,F1-Score,,0.8205,F1-Score: 0.8205
ct5p_encoder_only.ipynb,15,Accuracy,,0.7735,Accuracy: 0.7735
ct5p_encoder_only.ipynb,15,Precision,,0.7322,Precision: 0.7322
ct5p_encoder_only.ipynb,15,Recall,,0.8623,Recall: 0.8623
ct5p_encoder_only.ipynb,15,F1-Score,,0.7919,F1-Score: 0.7919
ct5p_encoder_only.ipynb,15,Accuracy,,0.9002,Accuracy: 0.9002
ct5p_encoder_only.ipynb,15,Precision,,0.933,Precision: 0.9330
ct5p_encoder_only.ipynb,15,Recall,,0.8623,Recall: 0.8623
ct5p_encoder_only.ipynb,15,F1-Score,,0.8963,F1-Score: 0.8963
ct5p_encoder_only.ipynb,15,Accuracy,,0.7665,Accuracy: 0.7665
ct5p_encoder_only.ipynb,15,Precision,,0.7236,Precision: 0.7236
ct5p_encoder_only.ipynb,15,Recall,,0.8623,Recall: 0.8623
ct5p_encoder_only.ipynb,15,F1-Score,,0.7869,F1-Score: 0.7869
ct5p_encoder_only.ipynb,15,Accuracy,,0.7136,Accuracy: 0.7136
ct5p_encoder_only.ipynb,15,Precision,,0.6646,Precision: 0.6646
ct5p_encoder_only.ipynb,15,Recall,,0.8623,Recall: 0.8623
ct5p_encoder_only.ipynb,15,F1-Score,,0.7507,F1-Score: 0.7507
ct5p_encoder_only.ipynb,15,Accuracy,,0.7665,Accuracy: 0.7665
ct5p_encoder_only.ipynb,15,Precision,,0.7236,Precision: 0.7236
ct5p_encoder_only.ipynb,15,Recall,,0.8623,Recall: 0.8623
ct5p_encoder_only.ipynb,15,F1-Score,,0.7869,F1-Score: 0.7869
ct5p_encoder_only.ipynb,15,Accuracy,,0.7136,Accuracy: 0.7136
ct5p_encoder_only.ipynb,15,Precision,,0.6646,Precision: 0.6646
ct5p_encoder_only.ipynb,15,Recall,,0.8623,Recall: 0.8623
ct5p_encoder_only.ipynb,15,F1-Score,,0.7507,F1-Score: 0.7507
ct5p_encoder_only.ipynb,16,Accuracy,,0.7962,Accuracy:  0.7962
ct5p_encoder_only.ipynb,16,Precision,,0.7697,Precision: 0.7697
ct5p_encoder_only.ipynb,16,Recall,,0.8623,Recall:    0.8623
ct5p_encoder_only.ipynb,16,F1-Score,,0.8111,F1-Score:  0.8111
