notebook,cell_index,metric,test_set,value,raw_text
early_fusio_proj.ipynb,20,Dataset Accuracy,,79.24,Dataset Accuracy: 79.24%
early_fusio_proj.ipynb,20,Accuracy,,79.24,Accuracy: 79.24
early_fusio_proj.ipynb,20,Dataset Accuracy,,77.15,Dataset Accuracy: 77.15%
early_fusio_proj.ipynb,20,Accuracy,,77.15,Accuracy: 77.15
early_fusio_proj.ipynb,20,Dataset Accuracy,,73.69,Dataset Accuracy: 73.69%
early_fusio_proj.ipynb,20,Accuracy,,73.69,Accuracy: 73.69
early_fusio_proj.ipynb,20,Dataset Accuracy,,74.75,Dataset Accuracy: 74.75%
early_fusio_proj.ipynb,20,Accuracy,,74.75,Accuracy: 74.75
early_fusio_proj.ipynb,20,Dataset Accuracy,,76.75,Dataset Accuracy: 76.75%
early_fusio_proj.ipynb,20,Accuracy,,76.75,Accuracy: 76.75
early_fusio_proj.ipynb,20,Dataset Accuracy,,82.63,Dataset Accuracy: 82.63%
early_fusio_proj.ipynb,20,Accuracy,,82.63,Accuracy: 82.63
early_fusio_proj.ipynb,20,Dataset Accuracy,,74.55,Dataset Accuracy: 74.55%
early_fusio_proj.ipynb,20,Accuracy,,74.55,Accuracy: 74.55
early_fusio_proj.ipynb,20,Dataset Accuracy,,68.86,Dataset Accuracy: 68.86%
early_fusio_proj.ipynb,20,Accuracy,,68.86,Accuracy: 68.86
early_fusio_proj.ipynb,20,Dataset Accuracy,,74.55,Dataset Accuracy: 74.55%
early_fusio_proj.ipynb,20,Accuracy,,74.55,Accuracy: 74.55
early_fusio_proj.ipynb,20,Dataset Accuracy,,68.86,Dataset Accuracy: 68.86%
early_fusio_proj.ipynb,20,Accuracy,,68.86,Accuracy: 68.86
