notebook,cell_index,metric,test_set,value,raw_text
early_fusion_codebert.ipynb,24,Dataset Accuracy,,80.04,Dataset Accuracy: 80.04%
early_fusion_codebert.ipynb,24,Accuracy,,80.04,Accuracy: 80.04
early_fusion_codebert.ipynb,24,Dataset Accuracy,,79.14,Dataset Accuracy: 79.14%
early_fusion_codebert.ipynb,24,Accuracy,,79.14,Accuracy: 79.14
early_fusion_codebert.ipynb,24,Dataset Accuracy,,76.55,Dataset Accuracy: 76.55%
early_fusion_codebert.ipynb,24,Accuracy,,76.55,Accuracy: 76.55
early_fusion_codebert.ipynb,24,Dataset Accuracy,,76.05,Dataset Accuracy: 76.05%
early_fusion_codebert.ipynb,24,Accuracy,,76.05,Accuracy: 76.05
early_fusion_codebert.ipynb,24,Dataset Accuracy,,72.55,Dataset Accuracy: 72.55%
early_fusion_codebert.ipynb,24,Accuracy,,72.55,Accuracy: 72.55
early_fusion_codebert.ipynb,24,Dataset Accuracy,,83.33,Dataset Accuracy: 83.33%
early_fusion_codebert.ipynb,24,Accuracy,,83.33,Accuracy: 83.33
early_fusion_codebert.ipynb,24,Dataset Accuracy,,76.85,Dataset Accuracy: 76.85%
early_fusion_codebert.ipynb,24,Accuracy,,76.85,Accuracy: 76.85
early_fusion_codebert.ipynb,24,Dataset Accuracy,,72.36,Dataset Accuracy: 72.36%
early_fusion_codebert.ipynb,24,Accuracy,,72.36,Accuracy: 72.36
early_fusion_codebert.ipynb,24,Dataset Accuracy,,76.85,Dataset Accuracy: 76.85%
early_fusion_codebert.ipynb,24,Accuracy,,76.85,Accuracy: 76.85
early_fusion_codebert.ipynb,24,Dataset Accuracy,,72.36,Dataset Accuracy: 72.36%
early_fusion_codebert.ipynb,24,Accuracy,,72.36,Accuracy: 72.36
