notebook,cell_index,metric,test_set,value,raw_text
early_fusion_ct5p.ipynb,17,Dataset Accuracy,,88.12,Dataset Accuracy: 88.12%
early_fusion_ct5p.ipynb,17,Accuracy,,88.12,Accuracy: 88.12
early_fusion_ct5p.ipynb,17,Dataset Accuracy,,83.93,Dataset Accuracy: 83.93%
early_fusion_ct5p.ipynb,17,Accuracy,,83.93,Accuracy: 83.93
early_fusion_ct5p.ipynb,17,Dataset Accuracy,,84.14,Dataset Accuracy: 84.14%
early_fusion_ct5p.ipynb,17,Accuracy,,84.14,Accuracy: 84.14
early_fusion_ct5p.ipynb,17,Dataset Accuracy,,81.84,Dataset Accuracy: 81.84%
early_fusion_ct5p.ipynb,17,Accuracy,,81.84,Accuracy: 81.84
early_fusion_ct5p.ipynb,17,Dataset Accuracy,,74.55,Dataset Accuracy: 74.55%
early_fusion_ct5p.ipynb,17,Accuracy,,74.55,Accuracy: 74.55
early_fusion_ct5p.ipynb,17,Dataset Accuracy,,91.02,Dataset Accuracy: 91.02%
early_fusion_ct5p.ipynb,17,Accuracy,,91.02,Accuracy: 91.02
early_fusion_ct5p.ipynb,17,Dataset Accuracy,,79.14,Dataset Accuracy: 79.14%
early_fusion_ct5p.ipynb,17,Accuracy,,79.14,Accuracy: 79.14
early_fusion_ct5p.ipynb,17,Dataset Accuracy,,72.75,Dataset Accuracy: 72.75%
early_fusion_ct5p.ipynb,17,Accuracy,,72.75,Accuracy: 72.75
early_fusion_ct5p.ipynb,17,Dataset Accuracy,,79.14,Dataset Accuracy: 79.14%
early_fusion_ct5p.ipynb,17,Accuracy,,79.14,Accuracy: 79.14
early_fusion_ct5p.ipynb,17,Average Accuracy,,80.74,Average Accuracy: 80.74%
early_fusion_ct5p.ipynb,17,Dataset Accuracy,,72.75,Dataset Accuracy: 72.75%
early_fusion_ct5p.ipynb,17,Accuracy,,72.75,Accuracy: 72.75
early_fusion_ct5p.ipynb,17,Accuracy,,80.74,Accuracy: 80.74
