notebook,cell_index,metric,test_set,value,raw_text
early_fusion_stylometric.ipynb,21,Dataset Accuracy,,78.74,Dataset Accuracy: 78.74%
early_fusion_stylometric.ipynb,21,Accuracy,,78.74,Accuracy: 78.74
early_fusion_stylometric.ipynb,21,Dataset Accuracy,,76.55,Dataset Accuracy: 76.55%
early_fusion_stylometric.ipynb,21,Accuracy,,76.55,Accuracy: 76.55
early_fusion_stylometric.ipynb,21,Dataset Accuracy,,72.02,Dataset Accuracy: 72.02%
early_fusion_stylometric.ipynb,21,Accuracy,,72.02,Accuracy: 72.02
early_fusion_stylometric.ipynb,21,Dataset Accuracy,,73.65,Dataset Accuracy: 73.65%
early_fusion_stylometric.ipynb,21,Accuracy,,73.65,Accuracy: 73.65
early_fusion_stylometric.ipynb,21,Dataset Accuracy,,76.85,Dataset Accuracy: 76.85%
early_fusion_stylometric.ipynb,21,Accuracy,,76.85,Accuracy: 76.85
early_fusion_stylometric.ipynb,21,Dataset Accuracy,,82.44,Dataset Accuracy: 82.44%
early_fusion_stylometric.ipynb,21,Accuracy,,82.44,Accuracy: 82.44
early_fusion_stylometric.ipynb,21,Dataset Accuracy,,72.55,Dataset Accuracy: 72.55%
early_fusion_stylometric.ipynb,21,Accuracy,,72.55,Accuracy: 72.55
early_fusion_stylometric.ipynb,21,Dataset Accuracy,,69.46,Dataset Accuracy: 69.46%
early_fusion_stylometric.ipynb,21,Accuracy,,69.46,Accuracy: 69.46
early_fusion_stylometric.ipynb,21,Dataset Accuracy,,72.55,Dataset Accuracy: 72.55%
early_fusion_stylometric.ipynb,21,Accuracy,,72.55,Accuracy: 72.55
early_fusion_stylometric.ipynb,21,Dataset Accuracy,,69.46,Dataset Accuracy: 69.46%
early_fusion_stylometric.ipynb,21,Accuracy,,69.46,Accuracy: 69.46
early_fusion_stylometric.ipynb,23,Dataset Accuracy,,79.44,Dataset Accuracy: 79.44%
early_fusion_stylometric.ipynb,23,Accuracy,,79.44,Accuracy: 79.44
early_fusion_stylometric.ipynb,23,Dataset Accuracy,,77.45,Dataset Accuracy: 77.45%
early_fusion_stylometric.ipynb,23,Accuracy,,77.45,Accuracy: 77.45
early_fusion_stylometric.ipynb,23,Dataset Accuracy,,74.29,Dataset Accuracy: 74.29%
early_fusion_stylometric.ipynb,23,Accuracy,,74.29,Accuracy: 74.29
early_fusion_stylometric.ipynb,23,Dataset Accuracy,,75.55,Dataset Accuracy: 75.55%
early_fusion_stylometric.ipynb,23,Accuracy,,75.55,Accuracy: 75.55
early_fusion_stylometric.ipynb,23,Dataset Accuracy,,77.45,Dataset Accuracy: 77.45%
early_fusion_stylometric.ipynb,23,Accuracy,,77.45,Accuracy: 77.45
early_fusion_stylometric.ipynb,23,Dataset Accuracy,,82.44,Dataset Accuracy: 82.44%
early_fusion_stylometric.ipynb,23,Accuracy,,82.44,Accuracy: 82.44
early_fusion_stylometric.ipynb,23,Dataset Accuracy,,73.75,Dataset Accuracy: 73.75%
early_fusion_stylometric.ipynb,23,Accuracy,,73.75,Accuracy: 73.75
early_fusion_stylometric.ipynb,23,Dataset Accuracy,,71.06,Dataset Accuracy: 71.06%
early_fusion_stylometric.ipynb,23,Accuracy,,71.06,Accuracy: 71.06
early_fusion_stylometric.ipynb,23,Dataset Accuracy,,73.75,Dataset Accuracy: 73.75%
early_fusion_stylometric.ipynb,23,Accuracy,,73.75,Accuracy: 73.75
early_fusion_stylometric.ipynb,23,Dataset Accuracy,,71.06,Dataset Accuracy: 71.06%
early_fusion_stylometric.ipynb,23,Accuracy,,71.06,Accuracy: 71.06
early_fusion_stylometric.ipynb,25,Dataset Accuracy,,79.54,Dataset Accuracy: 79.54%
early_fusion_stylometric.ipynb,25,Accuracy,,79.54,Accuracy: 79.54
early_fusion_stylometric.ipynb,25,Dataset Accuracy,,77.54,Dataset Accuracy: 77.54%
early_fusion_stylometric.ipynb,25,Accuracy,,77.54,Accuracy: 77.54
early_fusion_stylometric.ipynb,25,Dataset Accuracy,,75.07,Dataset Accuracy: 75.07%
early_fusion_stylometric.ipynb,25,Accuracy,,75.07,Accuracy: 75.07
early_fusion_stylometric.ipynb,25,Dataset Accuracy,,75.45,Dataset Accuracy: 75.45%
early_fusion_stylometric.ipynb,25,Accuracy,,75.45,Accuracy: 75.45
early_fusion_stylometric.ipynb,25,Dataset Accuracy,,77.05,Dataset Accuracy: 77.05%
early_fusion_stylometric.ipynb,25,Accuracy,,77.05,Accuracy: 77.05
early_fusion_stylometric.ipynb,25,Dataset Accuracy,,82.14,Dataset Accuracy: 82.14%
early_fusion_stylometric.ipynb,25,Accuracy,,82.14,Accuracy: 82.14
early_fusion_stylometric.ipynb,25,Dataset Accuracy,,73.55,Dataset Accuracy: 73.55%
early_fusion_stylometric.ipynb,25,Accuracy,,73.55,Accuracy: 73.55
early_fusion_stylometric.ipynb,25,Dataset Accuracy,,71.76,Dataset Accuracy: 71.76%
early_fusion_stylometric.ipynb,25,Accuracy,,71.76,Accuracy: 71.76
early_fusion_stylometric.ipynb,25,Dataset Accuracy,,73.55,Dataset Accuracy: 73.55%
early_fusion_stylometric.ipynb,25,Accuracy,,73.55,Accuracy: 73.55
early_fusion_stylometric.ipynb,25,Dataset Accuracy,,71.76,Dataset Accuracy: 71.76%
early_fusion_stylometric.ipynb,25,Accuracy,,71.76,Accuracy: 71.76
