notebook,cell_index,metric,test_set,value,raw_text
early_fusion_unixcoder_nn.ipynb,21,Dataset Accuracy,,83.23,Dataset Accuracy: 83.23%
early_fusion_unixcoder_nn.ipynb,21,Accuracy,,83.23,Accuracy: 83.23
early_fusion_unixcoder_nn.ipynb,21,Dataset Accuracy,,80.44,Dataset Accuracy: 80.44%
early_fusion_unixcoder_nn.ipynb,21,Accuracy,,80.44,Accuracy: 80.44
early_fusion_unixcoder_nn.ipynb,21,Dataset Accuracy,,80.89,Dataset Accuracy: 80.89%
early_fusion_unixcoder_nn.ipynb,21,Accuracy,,80.89,Accuracy: 80.89
early_fusion_unixcoder_nn.ipynb,21,Dataset Accuracy,,78.44,Dataset Accuracy: 78.44%
early_fusion_unixcoder_nn.ipynb,21,Accuracy,,78.44,Accuracy: 78.44
early_fusion_unixcoder_nn.ipynb,21,Dataset Accuracy,,71.86,Dataset Accuracy: 71.86%
early_fusion_unixcoder_nn.ipynb,21,Accuracy,,71.86,Accuracy: 71.86
early_fusion_unixcoder_nn.ipynb,21,Dataset Accuracy,,83.93,Dataset Accuracy: 83.93%
early_fusion_unixcoder_nn.ipynb,21,Accuracy,,83.93,Accuracy: 83.93
early_fusion_unixcoder_nn.ipynb,21,Dataset Accuracy,,78.44,Dataset Accuracy: 78.44%
early_fusion_unixcoder_nn.ipynb,21,Accuracy,,78.44,Accuracy: 78.44
early_fusion_unixcoder_nn.ipynb,21,Dataset Accuracy,,72.75,Dataset Accuracy: 72.75%
early_fusion_unixcoder_nn.ipynb,21,Accuracy,,72.75,Accuracy: 72.75
early_fusion_unixcoder_nn.ipynb,21,Dataset Accuracy,,78.44,Dataset Accuracy: 78.44%
early_fusion_unixcoder_nn.ipynb,21,Accuracy,,78.44,Accuracy: 78.44
early_fusion_unixcoder_nn.ipynb,21,Dataset Accuracy,,72.75,Dataset Accuracy: 72.75%
early_fusion_unixcoder_nn.ipynb,21,Accuracy,,72.75,Accuracy: 72.75
