notebook,cell_index,metric,test_set,value,raw_text
early_fusion_unixcoder_rf.ipynb,15,Training Accuracy,,99.66,Training Accuracy: 99.66%
early_fusion_unixcoder_rf.ipynb,15,Accuracy,,99.66,Accuracy: 99.66
early_fusion_unixcoder_rf.ipynb,21,Dataset Accuracy,,87.52,Dataset Accuracy: 87.52%
early_fusion_unixcoder_rf.ipynb,21,Accuracy,,87.52,Accuracy: 87.52
early_fusion_unixcoder_rf.ipynb,21,Dataset Accuracy,,81.04,Dataset Accuracy: 81.04%
early_fusion_unixcoder_rf.ipynb,21,Accuracy,,81.04,Accuracy: 81.04
early_fusion_unixcoder_rf.ipynb,21,Dataset Accuracy,,82.07,Dataset Accuracy: 82.07%
early_fusion_unixcoder_rf.ipynb,21,Accuracy,,82.07,Accuracy: 82.07
early_fusion_unixcoder_rf.ipynb,21,Dataset Accuracy,,78.24,Dataset Accuracy: 78.24%
early_fusion_unixcoder_rf.ipynb,21,Accuracy,,78.24,Accuracy: 78.24
early_fusion_unixcoder_rf.ipynb,21,Dataset Accuracy,,78.74,Dataset Accuracy: 78.74%
early_fusion_unixcoder_rf.ipynb,21,Accuracy,,78.74,Accuracy: 78.74
early_fusion_unixcoder_rf.ipynb,21,Dataset Accuracy,,88.02,Dataset Accuracy: 88.02%
early_fusion_unixcoder_rf.ipynb,21,Accuracy,,88.02,Accuracy: 88.02
early_fusion_unixcoder_rf.ipynb,21,Dataset Accuracy,,78.64,Dataset Accuracy: 78.64%
early_fusion_unixcoder_rf.ipynb,21,Accuracy,,78.64,Accuracy: 78.64
early_fusion_unixcoder_rf.ipynb,21,Dataset Accuracy,,72.36,Dataset Accuracy: 72.36%
early_fusion_unixcoder_rf.ipynb,21,Accuracy,,72.36,Accuracy: 72.36
early_fusion_unixcoder_rf.ipynb,21,Dataset Accuracy,,78.64,Dataset Accuracy: 78.64%
early_fusion_unixcoder_rf.ipynb,21,Accuracy,,78.64,Accuracy: 78.64
early_fusion_unixcoder_rf.ipynb,21,Average Accuracy,,79.76,Average Accuracy: 79.76%
early_fusion_unixcoder_rf.ipynb,21,Dataset Accuracy,,72.36,Dataset Accuracy: 72.36%
early_fusion_unixcoder_rf.ipynb,21,Accuracy,,72.36,Accuracy: 72.36
early_fusion_unixcoder_rf.ipynb,21,Accuracy,,79.76,Accuracy: 79.76
