notebook,cell_index,metric,test_set,value,raw_text
late_fusion_codebert.ipynb,7,Accuracy,Test_0,78.24,Accuracy on Test_0: 78.24%
late_fusion_codebert.ipynb,7,Accuracy,Test_1,76.25,Accuracy on Test_1: 76.25%
late_fusion_codebert.ipynb,7,Accuracy,Test_2,72.71,Accuracy on Test_2: 72.71%
late_fusion_codebert.ipynb,7,Accuracy,Test_3,72.26,Accuracy on Test_3: 72.26%
late_fusion_codebert.ipynb,7,Accuracy,Test_4,76.55,Accuracy on Test_4: 76.55%
late_fusion_codebert.ipynb,7,Accuracy,Test_5,82.24,Accuracy on Test_5: 82.24%
late_fusion_codebert.ipynb,7,Accuracy,Test_6,71.86,Accuracy on Test_6: 71.86%
late_fusion_codebert.ipynb,7,Accuracy,Test_7,68.36,Accuracy on Test_7: 68.36%
late_fusion_codebert.ipynb,7,Accuracy,Test_8,71.86,Accuracy on Test_8: 71.86%
late_fusion_codebert.ipynb,7,Accuracy,Test_9,68.36,Accuracy on Test_9: 68.36%
late_fusion_codebert.ipynb,8,Accuracy,Test_0,78.24,Accuracy on Test_0: 78.24%
late_fusion_codebert.ipynb,8,Accuracy,Test_1,76.25,Accuracy on Test_1: 76.25%
late_fusion_codebert.ipynb,8,Accuracy,Test_2,72.71,Accuracy on Test_2: 72.71%
late_fusion_codebert.ipynb,8,Accuracy,Test_3,72.26,Accuracy on Test_3: 72.26%
late_fusion_codebert.ipynb,8,Accuracy,Test_4,76.55,Accuracy on Test_4: 76.55%
late_fusion_codebert.ipynb,8,Accuracy,Test_5,82.24,Accuracy on Test_5: 82.24%
late_fusion_codebert.ipynb,8,Accuracy,Test_6,71.86,Accuracy on Test_6: 71.86%
late_fusion_codebert.ipynb,8,Accuracy,Test_7,68.36,Accuracy on Test_7: 68.36%
late_fusion_codebert.ipynb,8,Accuracy,Test_8,71.86,Accuracy on Test_8: 71.86%
late_fusion_codebert.ipynb,8,Accuracy,Test_9,68.36,Accuracy on Test_9: 68.36%
