notebook,cell_index,metric,test_set,value,raw_text
late_fusion_unixcoder.ipynb,7,Accuracy,Test_0,85.03,Accuracy on Test_0: 85.03%
late_fusion_unixcoder.ipynb,7,Accuracy,Test_1,81.14,Accuracy on Test_1: 81.14%
late_fusion_unixcoder.ipynb,7,Accuracy,Test_2,80.0,Accuracy on Test_2: 80.00%
late_fusion_unixcoder.ipynb,7,Accuracy,Test_3,77.74,Accuracy on Test_3: 77.74%
late_fusion_unixcoder.ipynb,7,Accuracy,Test_4,78.14,Accuracy on Test_4: 78.14%
late_fusion_unixcoder.ipynb,7,Accuracy,Test_5,87.72,Accuracy on Test_5: 87.72%
late_fusion_unixcoder.ipynb,7,Accuracy,Test_6,77.35,Accuracy on Test_6: 77.35%
late_fusion_unixcoder.ipynb,7,Accuracy,Test_7,70.56,Accuracy on Test_7: 70.56%
late_fusion_unixcoder.ipynb,7,Accuracy,Test_8,77.35,Accuracy on Test_8: 77.35%
late_fusion_unixcoder.ipynb,7,Accuracy,Test_9,70.56,Accuracy on Test_9: 70.56%
late_fusion_unixcoder.ipynb,8,Accuracy,Test_0,85.03,Accuracy on Test_0: 85.03%
late_fusion_unixcoder.ipynb,8,Accuracy,Test_1,81.14,Accuracy on Test_1: 81.14%
late_fusion_unixcoder.ipynb,8,Accuracy,Test_2,80.0,Accuracy on Test_2: 80.00%
late_fusion_unixcoder.ipynb,8,Accuracy,Test_3,77.74,Accuracy on Test_3: 77.74%
late_fusion_unixcoder.ipynb,8,Accuracy,Test_4,78.14,Accuracy on Test_4: 78.14%
late_fusion_unixcoder.ipynb,8,Accuracy,Test_5,87.72,Accuracy on Test_5: 87.72%
late_fusion_unixcoder.ipynb,8,Accuracy,Test_6,77.35,Accuracy on Test_6: 77.35%
late_fusion_unixcoder.ipynb,8,Accuracy,Test_7,70.56,Accuracy on Test_7: 70.56%
late_fusion_unixcoder.ipynb,8,Accuracy,Test_8,77.35,Accuracy on Test_8: 77.35%
late_fusion_unixcoder.ipynb,8,Accuracy,Test_9,70.56,Accuracy on Test_9: 70.56%
