notebook,cell_index,metric,test_set,value,raw_text
unixcoder_only.ipynb,9,Accuracy,,0.8313,Accuracy: 0.8313
unixcoder_only.ipynb,9,Precision,,0.8593,Precision: 0.8593
unixcoder_only.ipynb,9,Recall,,0.7924,Recall: 0.7924
unixcoder_only.ipynb,9,F1-Score,,0.8245,F1-Score: 0.8245
unixcoder_only.ipynb,9,Accuracy,,0.8014,Accuracy: 0.8014
unixcoder_only.ipynb,9,Precision,,0.8069,Precision: 0.8069
unixcoder_only.ipynb,9,Recall,,0.7924,Recall: 0.7924
unixcoder_only.ipynb,9,F1-Score,,0.7996,F1-Score: 0.7996
unixcoder_only.ipynb,9,Accuracy,,0.7852,Accuracy: 0.7852
unixcoder_only.ipynb,9,Precision,,0.7769,Precision: 0.7769
unixcoder_only.ipynb,9,Recall,,0.7924,Recall: 0.7924
unixcoder_only.ipynb,9,F1-Score,,0.7846,F1-Score: 0.7846
unixcoder_only.ipynb,9,Accuracy,,0.7894,Accuracy: 0.7894
unixcoder_only.ipynb,9,Precision,,0.7877,Precision: 0.7877
unixcoder_only.ipynb,9,Recall,,0.7924,Recall: 0.7924
unixcoder_only.ipynb,9,F1-Score,,0.79,F1-Score: 0.7900
unixcoder_only.ipynb,9,Accuracy,,0.7735,Accuracy: 0.7735
unixcoder_only.ipynb,9,Precision,,0.7635,Precision: 0.7635
unixcoder_only.ipynb,9,Recall,,0.7924,Recall: 0.7924
unixcoder_only.ipynb,9,F1-Score,,0.7777,F1-Score: 0.7777
unixcoder_only.ipynb,9,Accuracy,,0.8523,Accuracy: 0.8523
unixcoder_only.ipynb,9,Precision,,0.9002,Precision: 0.9002
unixcoder_only.ipynb,9,Recall,,0.7924,Recall: 0.7924
unixcoder_only.ipynb,9,F1-Score,,0.8429,F1-Score: 0.8429
unixcoder_only.ipynb,9,Accuracy,,0.7565,Accuracy: 0.7565
unixcoder_only.ipynb,9,Precision,,0.7393,Precision: 0.7393
unixcoder_only.ipynb,9,Recall,,0.7924,Recall: 0.7924
unixcoder_only.ipynb,9,F1-Score,,0.7649,F1-Score: 0.7649
unixcoder_only.ipynb,9,Accuracy,,0.7026,Accuracy: 0.7026
unixcoder_only.ipynb,9,Precision,,0.6717,Precision: 0.6717
unixcoder_only.ipynb,9,Recall,,0.7924,Recall: 0.7924
unixcoder_only.ipynb,9,F1-Score,,0.7271,F1-Score: 0.7271
unixcoder_only.ipynb,9,Accuracy,,0.7565,Accuracy: 0.7565
unixcoder_only.ipynb,9,Precision,,0.7393,Precision: 0.7393
unixcoder_only.ipynb,9,Recall,,0.7924,Recall: 0.7924
unixcoder_only.ipynb,9,F1-Score,,0.7649,F1-Score: 0.7649
unixcoder_only.ipynb,9,Accuracy,,0.7026,Accuracy: 0.7026
unixcoder_only.ipynb,9,Precision,,0.6717,Precision: 0.6717
unixcoder_only.ipynb,9,Recall,,0.7924,Recall: 0.7924
unixcoder_only.ipynb,9,F1-Score,,0.7271,F1-Score: 0.7271
