notebook,cell_index,metric,test_set,value,raw_text
vit_only.ipynb,20,Accuracy,Test_0,0.7315,Accuracy on ../snapshots/Test_0: 0.7315
vit_only.ipynb,20,Accuracy,Test_1,0.7355,Accuracy on ../snapshots/Test_1: 0.7355
vit_only.ipynb,20,Accuracy,Test_2,0.7153,Accuracy on ../snapshots/Test_2: 0.7153
vit_only.ipynb,20,Accuracy,Test_3,0.6976,Accuracy on ../snapshots/Test_3: 0.6976
vit_only.ipynb,20,Accuracy,Test_4,0.6038,Accuracy on ../snapshots/Test_4: 0.6038
vit_only.ipynb,20,Accuracy,Test_5,0.7665,Accuracy on ../snapshots/Test_5: 0.7665
vit_only.ipynb,20,Accuracy,Test_6,0.7355,Accuracy on ../snapshots/Test_6: 0.7355
vit_only.ipynb,20,Accuracy,Test_7,0.6667,Accuracy on ../snapshots/Test_7: 0.6667
vit_only.ipynb,20,Accuracy,Test_8,0.7355,Accuracy on ../snapshots/Test_8: 0.7355
vit_only.ipynb,20,Accuracy,Test_9,0.6667,Accuracy on ../snapshots/Test_9: 0.6667
