addDefaultMapping(tableViewInputMap,
                new KeyMapping(TAB, FocusTraversalInputMap::traverseNext),
                new KeyMapping(new KeyBinding(TAB).shift(), FocusTraversalInputMap::traversePrevious),

                new KeyMapping(HOME, e -&gt; selectFirstRow()),
                new KeyMapping(END, e -&gt; selectLastRow()),

                new KeyMapping(PAGE_UP, e -&gt; scrollUp()),
                new KeyMapping(PAGE_DOWN, e -&gt; scrollDown()),

                new KeyMapping(LEFT, e -&gt; { if(isRTL()) selectRightCell(); else selectLeftCell(); }),
                new KeyMapping(KP_LEFT,e -&gt; { if(isRTL()) selectRightCell(); else selectLeftCell(); }),
                new KeyMapping(RIGHT, e -&gt; { if(isRTL()) selectLeftCell(); else selectRightCell(); }),
                new KeyMapping(KP_RIGHT, e -&gt; { if(isRTL()) selectLeftCell(); else selectRightCell(); }),

                new KeyMapping(UP, e -&gt; selectPreviousRow()),
                new KeyMapping(KP_UP, e -&gt; selectPreviousRow()),
                new KeyMapping(DOWN, e -&gt; selectNextRow()),
                new KeyMapping(KP_DOWN, e -&gt; selectNextRow()),

                new KeyMapping(LEFT,   e -&gt; { if(isRTL()) focusTraverseRight(); else focusTraverseLeft(); }),
                new KeyMapping(KP_LEFT, e -&gt; { if(isRTL()) focusTraverseRight(); else focusTraverseLeft(); }),
                new KeyMapping(RIGHT, e -&gt; { if(isRTL()) focusTraverseLeft(); else focusTraverseRight(); }),
                new KeyMapping(KP_RIGHT, e -&gt; { if(isRTL()) focusTraverseLeft(); else focusTraverseRight(); }),
                new KeyMapping(UP, FocusTraversalInputMap::traverseUp),
                new KeyMapping(KP_UP, FocusTraversalInputMap::traverseUp),
                new KeyMapping(DOWN, FocusTraversalInputMap::traverseDown),
                new KeyMapping(KP_DOWN, FocusTraversalInputMap::traverseDown),

                new KeyMapping(new KeyBinding(HOME).shift(), e -&gt; selectAllToFirstRow()),
                new KeyMapping(new KeyBinding(END).shift(), e -&gt; selectAllToLastRow()),
                new KeyMapping(new KeyBinding(PAGE_UP).shift(), e -&gt; selectAllPageUp()),
                new KeyMapping(new KeyBinding(PAGE_DOWN).shift(), e -&gt; selectAllPageDown()),

                new KeyMapping(new KeyBinding(UP).shift(), e -&gt; alsoSelectPrevious()),
                new KeyMapping(new KeyBinding(KP_UP).shift(), e -&gt; alsoSelectPrevious()),
                new KeyMapping(new KeyBinding(DOWN).shift(), e -&gt; alsoSelectNext()),
                new KeyMapping(new KeyBinding(KP_DOWN).shift(), e -&gt; alsoSelectNext()),

                new KeyMapping(new KeyBinding(SPACE).shift(), e -&gt; selectAllToFocus(false)),
                new KeyMapping(new KeyBinding(SPACE).shortcut().shift(), e -&gt; selectAllToFocus(true)),

                new KeyMapping(new KeyBinding(LEFT).shift(), e -&gt; { if(isRTL()) alsoSelectRightCell(); else alsoSelectLeftCell(); }),
                new KeyMapping(new KeyBinding(KP_LEFT).shift(),  e -&gt; { if(isRTL()) alsoSelectRightCell(); else alsoSelectLeftCell(); }),
                new KeyMapping(new KeyBinding(RIGHT).shift(),  e -&gt; { if(isRTL()) alsoSelectLeftCell(); else alsoSelectRightCell(); }),
                new KeyMapping(new KeyBinding(KP_RIGHT).shift(), e -&gt; { if(isRTL()) alsoSelectLeftCell(); else alsoSelectRightCell(); }),

                new KeyMapping(new KeyBinding(UP).shortcut(), e -&gt; focusPreviousRow()),
                new KeyMapping(new KeyBinding(DOWN).shortcut(), e -&gt; focusNextRow()),
                new KeyMapping(new KeyBinding(RIGHT).shortcut(), e -&gt; { if(isRTL()) focusLeftCell(); else focusRightCell(); }),
                new KeyMapping(new KeyBinding(KP_RIGHT).shortcut(), e -&gt; { if(isRTL()) focusLeftCell(); else focusRightCell(); }),
                new KeyMapping(new KeyBinding(LEFT).shortcut(), e -&gt; { if(isRTL()) focusRightCell(); else focusLeftCell(); }),
                new KeyMapping(new KeyBinding(KP_LEFT).shortcut(), e -&gt; { if(isRTL()) focusRightCell(); else focusLeftCell(); }),

                new KeyMapping(new KeyBinding(A).shortcut(), e -&gt; selectAll()),
                new KeyMapping(new KeyBinding(HOME).shortcut(), e -&gt; focusFirstRow()),
                new KeyMapping(new KeyBinding(END).shortcut(), e -&gt; focusLastRow()),
                new KeyMapping(new KeyBinding(PAGE_UP).shortcut(), e -&gt; focusPageUp()),
                new KeyMapping(new KeyBinding(PAGE_DOWN).shortcut(), e -&gt; focusPageDown()),

                new KeyMapping(new KeyBinding(UP).shortcut().shift(), e -&gt; discontinuousSelectPreviousRow()),
                new KeyMapping(new KeyBinding(DOWN).shortcut().shift(), e -&gt; discontinuousSelectNextRow()),
                new KeyMapping(new KeyBinding(LEFT).shortcut().shift(), e -&gt; { if(isRTL()) discontinuousSelectNextColumn(); else discontinuousSelectPreviousColumn(); }),
                new KeyMapping(new KeyBinding(RIGHT).shortcut().shift(), e -&gt; { if(isRTL()) discontinuousSelectPreviousColumn(); else discontinuousSelectNextColumn(); }),
                new KeyMapping(new KeyBinding(PAGE_UP).shortcut().shift(), e -&gt; discontinuousSelectPageUp()),
                new KeyMapping(new KeyBinding(PAGE_DOWN).shortcut().shift(), e -&gt; discontinuousSelectPageDown()),
                new KeyMapping(new KeyBinding(HOME).shortcut().shift(), e -&gt; discontinuousSelectAllToFirstRow()),
                new KeyMapping(new KeyBinding(END).shortcut().shift(), e -&gt; discontinuousSelectAllToLastRow()),

                enterKeyActivateMapping = new KeyMapping(ENTER, this::activate),
                new KeyMapping(SPACE, this::activate),
                new KeyMapping(F2, this::activate),
                escapeKeyCancelEditMapping = new KeyMapping(ESCAPE, this::cancelEdit),

                new InputMap.MouseMapping(MouseEvent.MOUSE_PRESSED, this::mousePressed)
        );
