-- zeros, etc.
mulx021 multiply  0      0     -&gt;  0
mulx022 multiply  0     -0     -&gt; -0
mulx023 multiply -0      0     -&gt; -0
mulx024 multiply -0     -0     -&gt;  0
mulx025 multiply -0.0   -0.0   -&gt;  0.00
mulx026 multiply -0.0   -0.0   -&gt;  0.00
mulx027 multiply -0.0   -0.0   -&gt;  0.00
mulx028 multiply -0.0   -0.0   -&gt;  0.00
mulx030 multiply  5.00   1E-3  -&gt;  0.00500
mulx031 multiply  00.00  0.000 -&gt;  0.00000
mulx032 multiply  00.00  0E-3  -&gt;  0.00000     -- rhs is 0
mulx033 multiply  0E-3   00.00 -&gt;  0.00000     -- lhs is 0
mulx034 multiply -5.00   1E-3  -&gt; -0.00500
mulx035 multiply -00.00  0.000 -&gt; -0.00000
mulx036 multiply -00.00  0E-3  -&gt; -0.00000     -- rhs is 0
mulx037 multiply -0E-3   00.00 -&gt; -0.00000     -- lhs is 0
mulx038 multiply  5.00  -1E-3  -&gt; -0.00500
mulx039 multiply  00.00 -0.000 -&gt; -0.00000
mulx040 multiply  00.00 -0E-3  -&gt; -0.00000     -- rhs is 0
mulx041 multiply  0E-3  -00.00 -&gt; -0.00000     -- lhs is 0
mulx042 multiply -5.00  -1E-3  -&gt;  0.00500
mulx043 multiply -00.00 -0.000 -&gt;  0.00000
mulx044 multiply -00.00 -0E-3  -&gt;  0.00000     -- rhs is 0
mulx045 multiply -0E-3  -00.00 -&gt;  0.00000     -- lhs is 0
